cluster_final,rank,score,id,year,month,tags_raw,macro_tags,text_preview
3,7,0.4814736247062683,693695,2014,4,"[""деньги"", ""работа""]","[""work_professions"", ""finance_economy""]",Работа не деньги - она не заканчивается.
3,8,0.48995912075042725,622331,2013,1,"[""о жизни""]","[""absurd_philosophy""]","Не там хорошо, где нас нет, а там хорошо, потому что нас там нет!"
4,1,0.4386811852455139,522591,2011,7,"[""авто""]","[""transport""]","Омский шинный завод выиграл тендер на поставку автошин для ""Формулы 1"" в количестве 2000 штук... для ограждения трассы."
4,2,0.45756471157073975,461794,2010,8,"[""авто"", ""Челябинск""]","[""transport"", ""cities_places""]",Челябинский приборный завод освоил выпуск автомобильных навигаторов. Компас и астролябия в комплекте.
4,3,0.45881128311157227,139271,2005,1,"[""гаи""]","[""law_crime""]","Карты экспресс-оплаты ГИБДД 10, 50 и 100 условных единиц! Для корпоративных VIP клиентов новый тарифный план ""Эксклюзив"" - всего за 1000 уе в месяц все нарушения бесплатно! Подключите дополнительные услуги: ""Любимое нарушение"" - скидка 50% на любое одно выбранное вами нарушение! ""Антирадар"" - антио…"
4,4,0.46698611974716187,537983,2011,10,"[""Москва""]","[""cities_places""]","После выделения в Москве специальной полосы для общественного транспорта - опередив все мировые автомобильные бренды, на первое место по угонам в столице вышла продукция Голицынского автобусного завода..."
4,5,0.46847957372665405,801653,2015,12,"[""авто""]","[""transport""]","Наклейка на грузовике: ""Ротенберг, помни - монтировка под сиденьем""."
4,6,0.4697069525718689,438692,2010,2,"[""авто""]","[""transport""]","Уважаемые автопроизводители, выпускающие такие прекрасные автомобили как Toyota Land Cruiser, Range Rover, Volkswagen Touareg, Mitsubishi Pajero. Неужели наряду с такими продвинутыми, полезными и дорогостоящими системами как распределение тяговых усилий, стабилизация, помощь при трогании в гору и с…"
4,7,0.4750344753265381,1310223,2022,3,"[""авто""]","[""transport""]",Для обеспечения выпущенных машин запчастями АвтоВАЗ запустил конвейер в обратную сторону.
4,8,0.4754282236099243,419349,2009,10,"[""авто""]","[""transport""]",В Калининграде началась сборка двух моделей марки Opel. Завод Opel в Германии уже начал разбирать автомобили и поставлять комплектующие в Россию.
5,1,0.22446352243423462,13722,1997,1,"[""вовочка""]","[""education_children""]","Сидят Вовочка с Машенькой на уроке и балаболят. Машенька: - Вот горе у меня, залетела, а от кого - не знаю! Вовочка: - Это фигня. Вот я триппер подхватил, а где - не пойму. Учительница: - Прекратите болтать на уроке! Вовочка, сколько будет шестью шесть? Вовочка: - Тридцать шесть! Мне бы ваши заботы…"
5,2,0.22843009233474731,-472200006,1996,7,"[""вовочка""]","[""education_children""]","Приходит Вовочка домой и говорит отцу: - Папа, тебя в школу вызывают. Я парту в кабинете химии взорвал. На следующий день: - Папа, тебя в школу вызывают. Я кабинет химии взорвал. На третий день: - Папа, тебя в школу вызывают. - Больше не пойду! - Ну и правильно, нечего тебе на развалинах делать!"
5,3,0.24521267414093018,-1112600005,1999,11,"[""вовочка""]","[""education_children""]","Приходит Вовочка из школы, подходит к родителям: - Мам, когда ты с отцом, ну...это...ты на спине лежишь или на животе? Ну мать сразу: - Ах ты сопляк, идиот, обалдел что ли? Хлоп, хлоп по уху. Вовочка в рыдания: - Че ты дересся? У нас теперь предмет такой - половое воспитание. Нам прошлый раз объясн…"
5,4,0.24536138772964478,597641,2012,8,"[""вовочка""]","[""education_children""]","- Вовочка, зачем ты наклеил на тетрадь фото отца? - спрашивает мать сына. - А мне учительница сказала, что хотела бы посмотреть на того дурака, который помогает мне делать домашние задания."
5,5,0.25960904359817505,-2072700003,2000,7,"[""вовочка""]","[""education_children""]","Получил Вовочка пару по математике. Подходит к учителю с тетрадкой и грит: - На вашем месте я бы поставил сюда пятерку! - Это с какой-такой стати? - А с такой, что мой папаша давеча сказал: ""Если хоть еще раз увижу двойку по математике, то кое-кто отгребет хаа-роо-ших пиздюлей..."""
5,6,0.26188766956329346,-432500002,1996,3,"[""вовочка""]","[""education_children""]",- Вовочка! -- строго говорит мать. -- Ты почему вчера не был в школе? - А я подарок учительнице делал. - Какой подарок? - А у нее вчера был день рождения. Вот я и решил - пусть отдохнет без меня.
5,7,0.26825034618377686,-442800020,1996,4,"[""вовочка""]","[""education_children""]","Или про Вовочку, вот. Приходит в класс, избитый в дым. Синяки, подтеки... Учительца естественно интересуется, Какие дела, мол, кто побил? Вовочка говорит: - Папа побил. Учительца: - Да, за что? В.: - Время сколько, спросил. Та: - Да ну, ты загинаешь, не может быть чтоб родной-то отец да сына побил…"
5,8,0.27284538745880127,268455,2006,12,"[""вовочка""]","[""education_children""]","Вовочка пошел первый раз в первый класс. Приходит домой после занятий. Папа у него и спрашивает: - Ну, Вова, чему тебя сегодня научили в школе? Вова: - Да ничему, папа... Завтра велели снова придти."
6,1,0.3456568121910095,300741,2007,7,"[""врачи""]","[""health_medicine""]","Зубной врач после проведенного лечения смущенно говорит пациенту: - Простите ради бога, но я, похоже, удалил вам здоровый зуб. Теперь придется рвать еще и больной... Пациент отплевывается, и, не устраивая ожидаемой истерики, отвечает: - Доктор! Какое счастье, что вы не окулист!"
6,2,0.3567802906036377,868461,2017,1,"[""врачи""]","[""health_medicine""]","На приеме у врача: - Доктор, у меня болит всё! - Ну это вы загнули, батенька: на всё у вас денег не хватит."
6,3,0.3601691722869873,411574,2009,8,"[""врачи""]","[""health_medicine""]",Врач: - Так - больно? - Нет. - А та-а-ак?
6,4,0.37692463397979736,252830,2006,9,"[""врачи""]","[""health_medicine""]","- Я завтра пойду к врачу. - К врачу? Ты заболел? - Очень надеюсь, что заболел. Иначе неужели я так херово себя чувствую в здоровом состоянии?"
6,5,0.3834928870201111,898401,2017,7,"[""врачи""]","[""health_medicine""]","Пришёл мужик к психиатру: - Доктор, у меня всё плохо: здоровья нет, денег нет, никто меня не любит. - Ну, батенька, сейчас мы это поправим. Садитесь поудобнее, закройте глаза и повторяйте за мной: ""У меня всё хорошо, я здоров, богат и благополучен. Я люблю и любим"". Мужик, не открывая глаз: - Я рад…"
6,6,0.3836557865142822,-1103100005,1999,10,"[""аптека""]","[""health_medicine""]","Врач сердится на медсестру: - Разве вы не можете писать свои кулинарные рецепты на другой бумаге, кроме моих бланков? Моему пациенту в аптеке опять приготовили ваш чертов гуляш!"
6,7,0.38399624824523926,607245,2012,10,"[""аптека"", ""врачи""]","[""health_medicine""]","На приеме терапевта. Пациент - Доктор, по правде говоря, я не верил, что лекарство, которое Вы мне выписали поможет. Но помогло. Вы просто волшебник. Терапевт - По правде говоря, волшебник - аптекарь. Я Вам по ошибке дал бланк на котором ручку расписывал."
6,8,0.3892068862915039,544174,2011,11,"[""врачи""]","[""health_medicine""]","- Ну что, больной, будем лечиться? - Как, доктор, у вас тоже импотенция?!?"
7,1,0.3742610216140747,-10018590,2001,10,"[""Иван-царевич""]","[""literature_folklore_characters""]","Идет Иван-Царевич по лесу. Вдруг видит - в траве мышка сидит. Кинулся он к ней, хотел уже раздавить, как мышка говорит ему человеческим голосом: - Не дави меня, Иван-Царевич, я тебе еще пригожусь. ""Ну фиг с тобой,"" - думает Иван-Царевич, кладет мышку в карман и идет дальше. Идет, идет, вдруг видит…"
7,2,0.3830554485321045,51514,2003,7,"[""Винни-Пух""]","[""literature_folklore_characters""]","Идут, значит, Винн-Пух и Пятачок. Винни Пятаку говорит: - Хочешь, свинья, медку пожрать? - А что, можно? - отвечает Пятачок. - Конечно! - А как? - Короче, видишь вон то дерево? - говорит Винни. - Вижу. - Давай сделаем так. Я тебя подниму до самой вершины, там дупло и в нем живут пчелы. Как доползем…"
7,3,0.39209598302841187,15240,1997,5,"[""Колобок""]","[""literature_folklore_characters""]","Идет заяц по лесу, видит - колобок навстречу: - Колобок, колобок, я тебя съем. - Отвали, косой, в рог дам - кони двинешь. Испугался заяц. Идет волк по лесу, видит колобок навстречу: - Колобок, колобок, я тебя съем. - Ты на кого сослепу прешь, серый, ща гляделки-то выдавлю. Испугался волк. Идет медв…"
7,4,0.4066165089607239,-471700007,1996,7,"[""Иван-царевич""]","[""literature_folklore_characters""]","Полюбил как-то Иван-царевич Василису прекрасную, а как к ней подступиться-то, и не знает. Пошел он к старому колдуну за советом. Приходит и рассказывает о своем беде, а колдун ему отвечает: - А ты возьми кирпич, тресни ее по темечку, да и бери, пока тепленькая. Решил Иван, что ему такой метод не по…"
7,5,0.40701353549957275,77819,2004,1,"[""Баба-Яга"", ""Иван-царевич""]","[""literature_folklore_characters""]","Стучится Иван-царевич в избушку к Бабе Яге, а та из-за двери спрашивает: - Чего приперся? - Ты не торопись, сначала впусти, а потом и спрашивай! - отвечает Иван-царевич. Впустила его Баба Яга и опять спрашивает: - Ну, чего приперся? - Теперь напои-накорми, а потом и спрашивай. Напоила-накормила Ива…"
7,6,0.40777701139450073,186303,2005,9,"[""охота""]","[""everyday_life""]","Двое охотников пошли на кабана. На следующий день один из них возвращается, еле передвигаясь с тушей кабана на горбу. Видя, что его приятеля рядом нет, жители деревни его спрашивают: - Коль, а где Петрович? - Да ему плохо стало, он упал, в двух километрах отсюда валяется. - Как? Ты бросил Петровича…"
7,7,0.4143947958946228,375959,2008,12,"[""животные""]","[""animals""]","У зверей на лесной поляне праздник, пьют, закусывают, звучат тосты. Заяц говорит: - Ну, выпьем, братцы, пока еще песец не пришел! Только собрались по рюмашке хлопнуть, из кустов, треща ветками, появляется медведь, а рядом с ним - песец. - Привет, ребята, весело ли вам гуляется с водкой, которую у М…"
7,8,0.4213448762893677,-42500010,1998,4,"[""Красная Шапочка""]","[""literature_folklore_characters""]","Идет Серый волк по лесу,а на встречу ему Красная шапочка.Поравнялись, поздаровались,тут Волк и говорит; -Хочешь ли ты большой и чистой любви. -Так кто же ее не хочет! Загнул Волчара Шапочку и трахает,а у нее ну никаких эмоций. Волк напрягается, а она ему; -Ну Влчара на счет чистый он у тебя или нет…"
8,1,0.28887760639190674,15595,1997,5,"[""студент""]","[""education_children""]","Пpиходит студент на экзамен по устpойству чего-то. Взял билет, подготовился, поpа отвечать. Подходит он к пpеподу: - Извините, так и так, у меня пpоблемы с теpминами, можно я своими словами pасскажу? Пpепод ему pазpешает. Студент pассказывает: - Эта ху@нюшка состоит из такой-то по@ботины и @#$@@. Т…"
8,2,0.29966914653778076,-461600024,1996,6,"[""студент""]","[""education_children""]","Идет экзамен, а преподу непременно хочется завалить кого-нибудь. А студент шибко умный попался, на все вопросы отвечает как по писаному. Ну думает препод, сщас я его на дополнительных вопросах поймаю. И давай задавать, а студент не дурак, отвечает на все. Препод-то умишком раскинул и спрашивает: -…"
8,3,0.30911731719970703,-10085867,2000,11,"[""студент""]","[""education_children""]","Идeт экзамен. Студент выходит отвечать с маленькой бумажкой, на которой написана пара коротких предложений. Препод: - А где же ваш ответ? - В голове. - А это что? - кивает на бумажку. - А это не вместилось."
8,4,0.31186437606811523,-482700002,1996,8,"[""студент""]","[""education_children""]","Студент идет на экзамен. Думает: ``сдам - напьюсь, не сдам - напьюсь``. Купил бутылку. Сунул в карман пиджака и пошел сдаваться. Отвечает на билет. Преподователь: - Что это у вас в кармане? - Да так, ничего. - Доставайте. Студент достает бутылку, преподователь стакан. Наливает себе и выпивает: - Хо…"
8,5,0.3201479911804199,15580,1997,4,"[""студент""]","[""education_children""]","Институт. Сессия. Экзамен по физике. Студент благополучно списал и сидит, отвечает. Профессор (тыкая в формулу): - Это что? Студент: - Це, кажется. Профессор: - Что это такое? Студент: - Скорость света. Профессор: - Дурак. Это ж скобка. Три. Иди."
8,6,0.33045148849487305,-52200003,1998,5,"[""студент""]","[""education_children""]","Идет экзамен типа тест с вопросами, на которые надо отвечать ""да"" или ""нет"". Один из студентов подбрасывает монетку и записывает результаты. Препод думает: ""Ну, этот первым закончит."" Экзамен закончился, остальные студенты уже написали и ушли, а этот все сидит и монетку подбрасывает. Преподу это на…"
8,7,0.33323991298675537,14873,1997,4,"[""студент""]","[""education_children""]","Преподаватель: - Кто первым выйдет отвечать, тому оценку на балл выше. Студент (вставая): - Ладно, ставьте мне тройку, я ухожу..."
8,8,0.3334527611732483,-62100001,1998,6,"[""студент""]","[""education_children""]","Заходит студент на экзамен и без разговоров ставит на стол пузырь коньяка. Экзаменатор смотрит и произносит: - Удовлетворительно. Студент вытаскивает коробку шоколадных конфет. Экзаменатор: -Хорошо. Студент кладет сверху шикарную авторучку. Экзаменатор: - Отлично, - и пишет в зачетке. Студент забир…"
9,1,0.28342533111572266,-10026368,2001,9,"[""Одесса"", ""поезд""]","[""transport"", ""cities_places""]","Едут в поезде русский и одессит. Ну, как это обычно бывает, познакомились, выпили. Одессит: - Как?! Вы ни разу небыли в Одессе?! Обязательно приезжайте в Одессу!! Вы поймете, что до этого зря жили на свете! Приезжайте в Одессу! Обязательно приезжайте в Одессу!! Русский: - Хорошо, приеду. Давайте ад…"
9,2,0.34750670194625854,13624,1997,10,"[""такси""]","[""transport""]","Едет такси по городу. Вдруг останавливает такси бабка и говорит: - Милок, до кладбища не подбросишь? Таксист посмотрел на часы, а на часах 12 часов ночи.. Говорит бабке: - Садись, старая, подвезу.. Подвез, короче, как только бабка за дверь - он сразу дверь захлопнул и на газ. Смотрит в зеркало, а б…"
9,3,0.36727625131607056,19130,2002,12,"[""поезд""]","[""transport""]","Приходит мужик в кассу брать билет на поезд и говорит: - Дайте мне, пожалуйста, плацкартный билет до Хабаровска, верхнее боковое место у туалета. И видя обалдевшее лицо кассирши, поясняет: - Да тещу домой отправляю."
9,4,0.37257444858551025,693685,2014,4,"[""муж и жена"", ""поезд""]","[""family_relationships"", ""transport""]","В купе сидит девушка, на ней надеты колготки с узором. Напротив сидит грузин и спрашивает её: - Дорогая, куда ведут эти узоры? Девушка игриво отвечает: - К станции. - Сто рублей дам, станцию покажешь? Со верхней полки спрыгивает муж: - Ты, б***ь, двести рублей дай, я тебе начальника станции покажу!"
9,5,0.3897707462310791,10444,1997,11,"[""трамвай""]","[""transport""]","Заходит в трамвай мужик ,садится в кресло, достает из кармана початую бутылку водки и стакан. Налив полный стакан, задумывается... На остановке заходит в трамвай контролер и говорит: - Так, граждане, приготовьте за проезд. Мужик (очнувшись): - О... точно, за проезд ..."
9,6,0.39331525564193726,144273,2005,2,"[""автобус""]","[""transport""]","В тесном автобусе: интеллигентного вида молодой человек, поворачиваясь, толкает стоящую рядом тетю 7х8; извиняющимся тоном: "" О, пардон, мадам!"" - Какая на ..й мадам! Не видишь... - О, простите, МАДЕМУАЗЕЛЬ! Вадя"
9,7,0.3962485194206238,617491,2012,12,"[""о жизни""]","[""absurd_philosophy""]","Приехал мужик в командировку в провинциальный городок. Зашёл в туалет на вокзале. Смотрит на стене надпись краской «Девочки. Дёшево.Тел.** -***». Ну мужик решил развлечься, тем более дёшево. Позвонил. Ему сказали, куда подъехать на такси. Мужик доезжает до адреса, расплачивается, выходит, такси уез…"
9,8,0.403594970703125,59993,2003,9,"[""такси""]","[""transport""]","Монахиня садится в такси. Шофер трогается с места, спрашивает монахиню, куда ехать, и в этот момент чуть не врезается в другую машину. Из той машины крик: - Кретин, на дорогу надо смотреть, а не на свою блядищу! Шофер открывает окно: - Козел, да моя блядища срать на тебя, мудака, хотела...(оглядыва…"
10,1,0.405009925365448,456949,2010,6,"[""животные""]","[""animals""]","Кролик хотел узнать удава поближе. Теперь, он знает его изнутри."
10,2,0.41701740026474,581402,2012,5,"[""кошки""]","[""animals""]",Гот Максим назвал свою кошку Смерть. И теперь частенько по вечерам играет со Смертью.
10,3,0.41828811168670654,1098480,2020,3,"[""коронавирус"", ""кошки""]","[""covid_pandemic"", ""animals""]","Мой кот начинает проявлять нервозность, потому что я уже несколько дней постоянно нахожусь в его квартире..."
10,4,0.4296439290046692,801878,2015,12,"[""кошки""]","[""animals""]","Покупаю колбасу, даю коту, если жрёт, то можно есть! Стал замечать... эта шерстяная скотина смотрит, ем ли я!"
10,5,0.4336159825325012,1352915,2022,9,"[""кошки""]","[""animals""]","Последний раз, когда ветеринар пытался мою кошку аккуратно отцепить от меня, она покусала всех - и ветеринара, и медсестру, и меня. Справились только когда прибежал охранник с полотенцем... Скрутили её, как шаурму, так она из неё смотрела МАТОМ."
10,6,0.43404513597488403,693866,2014,5,"[""кошки""]","[""animals""]","Соседи назвали своего кота «Обама». Я сначала думал — за тёмно-полосатую масть. Оказалось — за непоколебимую уверенность, что он имеет право гадить в любом месте, где ему вздумается."
10,7,0.4399260878562927,496860,2011,2,"[""собаки""]","[""animals""]","ххх: подвел собаке к морде хобот пылесоса, газанул, пес вылетел из комнаты в ужасе и жопой разбил стекло шкафа ххх: я назвал его е@анутым, но чувствую, что проблема не в нем.. :(("
10,8,0.44150716066360474,551090,2012,1,"[""кошки""]","[""animals""]",Чёрный кот гонял по кругу суеверного пешехода на перекрёстке.
11,1,0.38714146614074707,1137947,2020,8,"[""Дед Мороз""]","[""media_popculture""]",- Что ты попросишь у Деда Мороза в новом 2021 году? - Пощады!
11,2,0.4132949709892273,-9999691,2001,12,"[""Дед Мороз""]","[""media_popculture""]","А все-таки как хорошо, что в Новый год к нам приходит дедушка Мороз, а не дедушка Ленин!"
11,3,0.434606671333313,1369166,2022,12,"[""новогодний""]","[""religion_holidays""]","1 января 2023 года - это воскресенье, а плохой год с воскресенья не начинается."
11,4,0.4599798321723938,1153563,2020,10,"[""Дед Мороз"", ""коронавирус""]","[""media_popculture"", ""covid_pandemic""]",С 2020-го на 2021-й Дед Мороз будет на дистанционке: он старше 65-ти.
11,5,0.4777933359146118,672718,2013,12,"[""новогодний""]","[""religion_holidays""]","Новый год - это вам не конец Света, его переживут не все."
11,6,0.48561495542526245,190562,2005,10,"[""новогодний""]","[""religion_holidays""]",В этом году Новый год в Америке отменяется... Санта Клаусу не дали визу!
11,7,0.48876988887786865,863853,2016,12,"[""новогодний""]","[""religion_holidays""]","Новый год - это время, когда хвоей пахнет не только в туалете."
11,8,0.491776704788208,672958,2013,12,"[""новогодний""]","[""religion_holidays""]","С кем Новый год проведёшь, от того и дети в сентябре."
12,1,0.3832125663757324,-9956986,2002,7,"[""студент""]","[""education_children""]","Советы служащим по правильному использованию ценного времени Системного Администратора. - Никогда не записывайте сообщения об ошибках. Просто нажмите ""ОК"" или перезапустите компьютер. СисАдмин любит угадывать, каким было сообщение об ошибке. - Когда говорите о своем компьютере, используйте такие те…"
12,2,0.3911120295524597,-1102800010,1999,10,"[""windows""]","[""it_internet""]","Внимание! После первого тестирования бета-версии MS Windows 2000 разработчиками принято решение о включении в финальную версию следующих сообщений об ошибках: 1) Нажмите сейчас сочетание клавиш Ctrl-Alt-Del для запуска теста на интеллектуальное развитие. 2) Нажмите любую клавишу ... нет, нет, нет,…"
12,3,0.4253060221672058,-10080396,2000,12,"[""windows""]","[""it_internet""]",Windows 95 - 95% ошибок. Windows 98 - 98% ошибок. Windows Millenium - неисправимая ошибка тысячелетия.
12,4,0.4351736903190613,-10053118,2001,4,"[""windows""]","[""it_internet""]","Из советов инженера технической поддержки Microsoft. Если вы проснулись с большого бодуна и не помните кто вы такой, как вас зовут и где вы работаете, попробуйте сделать следующее: 1. Включите компьютер. 2. Дождитесь загрузки Windows. 3. Дважды кликните по иконке ""My computer"". 4. В главном меню вы…"
12,5,0.44727081060409546,471521,2010,9,"[""windows""]","[""it_internet""]","Модернизация - она как Windows Vista... За@бательская, конечно, но все готовы доплатить, чтоб ее не было и вернуться к предыдущей версии..."
12,6,0.45972567796707153,106181,2004,7,"[""windows""]","[""it_internet""]","Хватит ругать Microsoft! Ведь если бы Windows не глючил, вирусы распространялись значительно быстрее. www.xaxaxa.ru"
12,7,0.46561217308044434,1260410,2021,10,"[""windows""]","[""it_internet""]","Вебинар, посвящённый выходу очередной версии Windows - ""Новые невозможности системы"""
12,8,0.47204136848449707,-1113000005,1999,11,"[""windows""]","[""it_internet""]",Мы с дpyгом поставили Windows'2000... И тоpмознyли кpyтейший PentiumIII-600.
13,1,0.4331187605857849,626622,2013,2,"[""диета""]","[""food_diet""]","Здоровое питание - это когда обязательно фильтруешь воду из-под крана перед тем, как заварить ""Доширак""."
13,2,0.4561156630516052,693690,2014,4,"[""водка""]","[""alcohol_smoking_drugs""]",Алкоголь - слабительное для души.
13,3,0.4654836058616638,858467,2016,11,"[""водка""]","[""alcohol_smoking_drugs""]","Как 3 литра вина выжрать за три часа, так это пожалуйста! А 2 литра воды за день, так не лезет!"
13,4,0.4707813858985901,989456,2018,12,"[""британские ученые""]","[""science_space""]",Британские учёные рассказали о последствиях отказа от алкоголя на месяц - печень становится совсем маленькой и ненужной...
13,5,0.47739511728286743,503034,2011,3,"[""водка""]","[""alcohol_smoking_drugs""]",- Что-то у меня кожа шелушиться начала. Это не от водки? - Это весенний авитаминоз. Закусывай водку витаминками.
13,6,0.48439621925354004,807517,2016,1,"[""врачи""]","[""health_medicine""]",Врач прописал мне обильное питьё. И понеслось!
13,7,0.4984261393547058,1026575,2019,6,"[""водка""]","[""alcohol_smoking_drugs""]",Водка - самый универсальный и натуральный улучшитель вкуса еды.
13,8,0.500994861125946,1108646,2020,4,"[""коронавирус""]","[""covid_pandemic""]","А что если карантин кончится, а привычка начинать пить в обед - нет?"
14,1,0.4112511873245239,795423,2015,11,"[""дети""]","[""education_children""]","Раньше родительских собраний боялись дети, а теперь родители."
14,2,0.45514029264450073,1155218,2020,10,"[""дети"", ""школа""]","[""education_children""]","Сын школьной поварихи подрос и стал ходить в первый класс, в котлетах появилось мясо."
