raw_tag,raw_tag_count,mapped_macro_tag,audit_status,audit_rationale,example_joke_ids
чукча,18,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-461600026;12064;13822;13538;12572
юмор,18,absurd_philosophy,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-412800006;-9994350;-9969154;138728;158343
Абрамович,17,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",54905;73707;102350;190074;257792
Буратино,17,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-1102800003;-2063000006;-10080384;-9990015;-9969370
золотая рыбка,17,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,23387;97547;96921;110876;262488
Билл Гейтс,16,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,15241;12634;-1102300006;-10069736;-9974722
метро,16,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,88624;133542;145531;170603;195378
нанотехнологии,16,science_space,confident,The raw tag has a direct semantic match to the assigned macro-category.,287588;301456;305439;313977;313867
сбербанк,16,finance_economy,confident,The raw tag has a direct semantic match to the assigned macro-category.,-32900001;-2032300009;132915;476335;658674
животные,15,animals,confident,The raw tag has a direct semantic match to the assigned macro-category.,15195;-10090672;346683;367556;375959
почта,15,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",12746;14890;106544;569851;626488
рыбалка,15,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-9963400;51769;88807;262488;329586
таможня,15,law_crime,confident,The raw tag has a direct semantic match to the assigned macro-category.,-451800002;-451500002;13883;-22800002;-52800003
Челябинск,15,cities_places,confident,The raw tag has a direct semantic match to the assigned macro-category.,-2012000004;38356;319008;403482;461794
8 марта,14,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,-2033100006;-10099588;83764;218578;389211
британские ученые,14,science_space,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",507818;522700;538184;570064;587266
грипп,14,health_medicine,confident,The raw tag has a direct semantic match to the assigned macro-category.,-1022300006;195990;218579;224928;394866
демократия,14,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",351528;385732;419915;443534;503031
Иван-царевич,14,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-471700007;-482400015;-1022800001;-10059098;-10037692
инструкции,14,textual_forms,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",14950;-122600010;-10099593;-10095288;-10069707
фсб,14,army_police,confident,The raw tag has a direct semantic match to the assigned macro-category.,-2042200003;-10099570;64126;121102;125786
23 февраля,13,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,-2022500003;-2022400010;329701;333587;438363
жкх,13,consumer_services,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",527579;587264;645494;822759;908897
Красная Шапочка,13,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-502500006;-522900001;14779;15197;-42500010
бесплатное,12,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",145368;242342;305954;389203;461509
Колобок,12,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,15240;-1102500002;-10018497;-9989983;-9980545
Муму,12,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-61100003;-10053117;-10026340;73127;101308
сантехник,12,work_professions,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",13860;-1062300001;375965;481849;532915
ии,11,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,43002;329702;570043;924488;1000357
конец света,11,absurd_philosophy,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-492700006;-9989985;242830;319662;456923
маршрутка,11,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,18955;126769;126173;411597;415349
Обама,11,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",381101;491291;502858;508177;562886
охота,11,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",186303;398854;403614;419480;443940
Валуев,10,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",319845;337590;381310;403879;403731
дача,10,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",127032;305274;337987;403725;636501
егэ,10,education_children,confident,The raw tag has a direct semantic match to the assigned macro-category.,87681;366616;411593;438365;452868
Навальный,10,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",532781;626619;879449;924462;972498
пасха,10,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,-1071800005;-10053072;-9969570;88620;342388
пожарный,10,work_professions,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",15459;-81800003;-1042400009;-9951604;38879
Березовский,9,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-1022300003;-1032400003;-1092900002;-2012900002;-2072700010
война,9,army_police,confident,The raw tag has a direct semantic match to the assigned macro-category.,496644;581391;710541;760857;884253
Карлсон,9,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-433100007;-2022700006;59543;231303;258241
Пушкин,9,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-412600006;-432300023;-502400005;486609;914900
троллейбус,9,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-413000002;-413000003;-502300006;-123000004;-1032800007
богатыри,8,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-422700001;-122300006;-10037708;23822;219586
Брежнев,8,soviet_history_politics,confident,The raw tag has a direct semantic match to the assigned macro-category.,12445;12567;-62700001;394859;438665
Сталин,8,soviet_history_politics,confident,The raw tag has a direct semantic match to the assigned macro-category.,-412600006;-61100002;38513;363525;456953
трамвай,8,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,14840;10444;-10018517;-9974900;292770
Чебурашка,8,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,13012;-9994339;29024;106176;164180
веган,7,food_diet,confident,The raw tag has a direct semantic match to the assigned macro-category.,-9962881;672964;795422;924314;962216
мультфильмы,7,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,219586;649719;727554;909233;1054053
хоккей,7,sport,confident,The raw tag has a direct semantic match to the assigned macro-category.,438665;438368;438369;438378;513276
цитаты,7,textual_forms,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",-10095243;-9989987;201337;1352936;1363366
1 апреля,6,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10090693;337596;522261;693334;939399
брюнетки,6,sex_gender,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,-2062100002;319657;350766;433595;899033
Вконтакте,6,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,376492;587056;727536;939894;1208368
Куклачев,6,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10085919;350778;543918;563164;569829
покемоны,6,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,-9969380;839159;839168;839173;838879
Прохоров,6,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",438672;438673;517691;517692;517895
Гарри Поттер,5,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,313969;318999;376117;756241;914878
трактор,5,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,12771;102253;126169;282625;452625
Адам и Ева,4,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,12924;102659;367478;750115
Донцова,4,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,252837;372034;376342;939572
Каренина,4,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,97124;125174;262888;677361
семья,4,family_relationships,confident,The raw tag has a direct semantic match to the assigned macro-category.,1510053;1525899;1548651;1562255
14 февраля,3,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,333587;807494;994895
Мазай,3,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,73127;87843;461330
Хоттабыч,3,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10026357;252843;351259
Чак Норрис,3,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,924477;1123865;1562246
telegram,2,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,945430;1591560
Баба-Яга,2,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-441800002;77819
ммм,2,finance_economy,confident,The raw tag has a direct semantic match to the assigned macro-category.,-82600009;371441
Онищенко,2,health_medicine,confident,The raw tag has a direct semantic match to the assigned macro-category.,230841;292769
Перельман,2,science_space,confident,The raw tag has a direct semantic match to the assigned macro-category.,247604;448446
Сусанин,2,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10059110;-9986459
твиттер,2,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,471273;592703
