id,text,cluster,x,y,date
21,"Как-то остановились в одном отеле где-то в КаннахСтарый Русский (благообразный старичок из какой-то тамволны эмиграции, интеллигент или дворянин в каком-то тампоколении) и Новый Русский (весь в рыжухе, коже и т.д.).Само собой, старичку интересно пообщаться с соотечественником,узнать что там в России-матушке деется. Да вот незадача -соотечественник больно необщительный - слова не обронит.Ну, в общем, за завтраком за табльдотом подсел Старый Русскийк Новому Русскому и, чтобы завязать разговор,обратился к нему с такой вот фразой:- Прекрасный сегодня денек будет, милостивый государь,вы не находите?Новый русский слегка удивился такой безответственной речи и,постучав пальцем по столу для придания веса своим словам,весомо произнес:- Смотри, дед ... я тебя за язык не тянул!",1,-0.33129197,11.757526,
22,"Мужик похоронил тещу, сидит у ее могилы и раговаривает:``На кого ж Вы нас покинули, мама ?! Из тех двадцатилет, что мы вместе прожили, я ни дня не забуду...``В этот момент ему голубь какает на голову.``Ой, мама, Вы уже там?``",3,0.0955368,11.232524,
23,Новобранцев выстроили на корабле в шеренгу икапитан орет:``Здесь вам не тут! Мы вам еще покажем небо валмазах! Значит так: в четверг отдыхаем от вкалыванияв среду. В пятницу готовимся выпивать в субботу.В субботу пьем. В воскресенье тоже пьем. В по-недельник отходим от попойки. Во вторник готовимсявкалывать в среду. В среду вкалываем!!!``Тут голос из шеренги:``Что так и будем каждую среду вкалывать?!``,1,-0.39261186,11.954022,
24,- Любишь ?- Люблю !- Женишся ?- Нет- Слезай !!!,1,-1.2520539,9.462778,
25,"В пустыне обессиливший путник (П) набрел на бутылку.Открыл пробку, а оттуда вылетел джин.В благодарность за свободу джин (Д) готов служить освободителю.Д:  - Чего хочешь?П:  - Домой хочу.Д:  - Hу, пошли...П:  - Hет, я быстро хочу.Д:  - Hу, тогда побежали!",3,-0.009267899,12.053281,
26,"Приходит мужик на работу, в курилку с утра, сел, ногу - наногу - а носки - то разные! Ну поприкалывались, только остыли,приходит другой мужик, ногу на ногу - у него носки тоже разные!Причем те же цвета, что и у первого перепутанца! Что тутначалось!!!",1,-0.9913193,11.463114,
27,"У одного мужика небыло чувства юмора, ну абсолютно.И родственники решили у него это чувство развить исобравшись стали рассказывать анекдоты:Театр, всем нам изветная постановка, монолог:Коня, полцарства за коня!!!Голос из верхней ложи:А осел не подойдет?Артист не растрялся и отвечает:Подойдет, спускайтесь сюда.Все смеются и родственник без чувства юмора смеетсягромче всех, все довольны.А он отсмеявшись говорит:Да, и как они умудрились наверх осла затащить?",3,-0.061482184,11.9223385,
28,"Новые русские едут на 600-м Мерсе:радиотелефон, прочие прибамбасы.Останавливаются на светофоре,сзади их пинает старенький запорожец.Выходят - пальцы веером: Ты че, в натуре?Владелец запорожца: ``Мужики, простите,я бедный слесарь, денег нет даже тормоза сделать.``Эти посмотрели, удар очень слабый, даже бамперне поцарапан.``Ладно, что с тебя возьмешь, езжай дальше``.Следующий перекресток, опять слабый удар сзади.Поворачиваются - опять тот же запорожец. Выходят.Все то же самое.Третий перекресток. Опять слабый удар. Оборачиваются:сзади опять тот же запорожец, его водитель открыветокно и с милой улыбкой машет ладошкой сидящим в Мерсе,как старым друзьям : ``Свои-свои-и-и!``",1,-0.2911688,11.911392,
29,"Умирает старый грузин. Вызывает к себе сына и говорит:- Послушай, Гиви , я умираю. Перед смертью я долженрассказать тебе, откуда у нас все эти деньги. Гиви,у меня есть машинка, один  дирка  баран  суешь,другой  дирка   палка   колбасы вилезает.Ты понял меня, Гиви?Гиви, после долгой паузы:- Не понял, Отэц.- Гиви, я тебе говорю, у меня есть машинка, один диркабаран суешь, другой дирка палка колбасы вилезает,ты понял???Гиви, после долгой паузы:- Не понял, отэц.- Гиви, что ты не понял??!!! Я тебе говорю, есть машинка,дирка баран суешь, дирка палка вилезает!!!Что ты не понял!!!???Гиви, без паузы:- Атэц, а нет такой машинка: дирка палка суешь, диркабаран вилезает?- Есть, Гиви, это твоя мама !!!!",3,0.17369585,11.391919,
30,"Лежат на крыше два кирпича - молодой и старый.- Дед, давай прыгнем! - суетится молодой.- Погоди, человека дождемся... - пыхтит старый.- Вон мужик идет, прыгаем!!!Пролетели немного:- Эх, мужик-то в каске... - огорчился молодой.- Молодо-зелено. Учись, пока цел. - покровительственноусмехается старый, и тихонечко с высоты:- Эй, мужик...",3,-0.07185973,11.864092,
31,"Деревня. Лето. Стоит под деревом негр. Ему очень плохо и,видимо, только что его стошнило. Идет старик-колхозник.Видит такое дело и говорит:- Что, плохо тебе?- Yes.- Домой, поди, хочется.- Yes.- Ну давай подсажу.",3,0.3644094,11.572232,
32,"Один мужик загорал с сыном на пляже, а теща купалась. Вдругона стала тонуть.- Папа, смотри, наша бабушка не плывет, а кричит и машет руками! -закричал сынок.- Что же ты сидишь, сынок?! - сказал мужчина. - Помаши и ты ей напрощанье.",3,0.105749995,11.1923,
33,"Подбегает мужик к милиционеру и говорит:- Заберите меня, иначе я убью свою тещу.- Убей заодно и мою, а я тебе помогу поменьше срок получить.Тот плюнул и побежал к прокурору.- Товарищ прокурор, заберите меня, а то я убью свою тещу.- Убей и мою, помогу меньше сидеть.Мужик напился, пошел и убил трех тещ - свою, милиционера ипрокурора. Идет суд:- За убийство трех тещ гражданин Иванов приговаривается к шестимесяцам заключения.Судья оборачивается и тихонько говорит:- А если бы и мою убил, вообще бы ничего не получил!",1,-0.8112678,11.41066,
34,"Теща приходит к зятю.- Любимый зятек, вот тебе сто тысяч. Как хочешь крутись,но похорони меня в кремлевской стене.На следующее утро зять приходит к теще.- Любимая теща, как хочешь крутись, но похороны сегодняв двенадцать.",3,-0.32200003,11.098782,
35,"- Я дам тебе десять долларов, если ты поедешь на вокзали встретишь мою тещу.- А если она не приедет?- Тогда получишь вдвое больше.",1,-0.8342208,10.506692,
36,"Сидит любящий зять у постели умирающей тещи. Теща следит глазамиза ползающей по потолку мухой. На что зять ласково так замечает:- Мама, ну не отвлекайтесь, пожалуйста!",3,0.052660275,11.106913,
37,"По улице идет грязный-прегрязный мужик.- Мужик, ты что такой грязный?- Да с паровозом целовался.- Ты что, дурак?- Да нет, тещу домой отправил!",1,-1.0554277,11.442032,
38,"Турист в африканских джунглях видит на поляне местного жителя,который без устали бьет в тамтам.- Что вы делаете? - спрашивает турист.- У нас  уже несколько дней нет воды.- Ага, понимаю, - со снисходительной улыбкой говорит турист. -Вы молите небо о дожде?- Чушь! Просто я зову слесаря.",3,0.28604123,11.983958,
39,"Теща зятю:- Каждый вечер вы рассказываете моему внуку сказки. Не могли бы выобъяснить, почему они все заканчиваются одинаково: ``Они поженилисьи жили счастливо, потому что невеста была сиротой?``",3,-1.3468182,9.155794,
40,"- Алло! Это аптека? Сейчас к вам придет моя теща с собакой,дайте ей яду.- Хорошо, а вы уверены, что собака одна найдет дорогу домой?",3,0.09591884,10.857334,
41,"- Значит, вы видели, как преступник задушил вашу тещу?- Видел, господин судья.- Почему же вы не бросились на помощь?- Я хотел, но увидел, что он сам справится, и решил невмешиваться.",1,-0.5840162,11.26667,
42,"- Я слышал ты разбогател! Как это тебе удалось?- Видишь ли, я перевозил туристов на остров. Экскурсия тудастоила пятьсот лир. Обратно - в три раза дороже!",1,0.35687077,10.618793,
43,"На ступеньках церкви, где вот-вот начнется церемония венчания, матьневесты подходит к жениху, обнимает его и говорит:- Отныне ты имеешь во мне не только тещу, но и друга...Минуту спустя к жениху подходит отец невесты и шепчет ему на ухо:- С таким ``другом`` и врагов не надо!",3,-1.4882398,9.297028,
44,"- Мою тещу вчера укусила собака.- Ну и как себя чувствует теща?- Теща хорошо, а вот собака сдохла.",3,0.20826474,10.788197,
45,"В зале суда судят боксера за избиение женщины. Боксер - мастерспорта, резкий, дерганый мужик. Судья:- Ну вот скажите, подсудимый, за что вы избили женщину?- Какую женщину, это же моя теща!- А разве теща не женщина? - спрашивает судья.- Да вообще женщина, - призадумывается боксер.- Ну, расскажите суду, за что вы ее избили.- Ну, это, прихожу я, значит, домой, иду на, это, на кухню,сижу ем. Теща - жу-жу-жу, жу-жу-жу, а я сижу ем. Теща опять -жу-жу-жу, жу-жу-жу - и тут она открылась...",1,-1.15834,10.7284155,
46,"Идет мент по улице, смотрит, на седьмом этаже висит женщина, еледержится за карниз, а мужик из окна пытается ее вниз свалить.- Эй, гражданин!!! Вы что делаете???- Да это моя теща!- Живучая, падла!",1,-0.65252024,11.3887,
47,"Прохожий, увидев траурную процессию, пристраивается к несущемугроб мужчине, снимает шляпу и спрашивает:- Кого хороним?- Тещу.- А почему гроб боком несете?- А когда на спину переворачиваем - храпеть начинает.",3,0.23531318,11.419992,
48,- Мы в этом году по одной путевке всей семьей отдыхали!- Не может быть!- Просто мы купили путевку и отправили по ней в санаторий тещу.,1,0.54170686,10.428642,
49,"Одну даму на улице укусила собака. Сконфуженный хозяин объясняет:- Обычно мой боксер очень мил, но у вас, наверное, такие же духи,как у моей тещи.",3,1.124204,10.476888,
50,"Звонок. Глава семьи открывает дверь. На пороге - теща. Муж, безэнтузиазма:- Здравствуйте, мама. Надолго к нам?- Да пока не надоем.- Что же так, даже чаю не попьете?",1,-1.2717096,10.691137,
51,"На базаре бабка продает яблоки, в них табличка -``Чернобыльские``. Какой-то умный человек проходя мимозамечает:- Слышь, бабка, дык наверное твои яблоки никто и непокупает. Зачем ты эту табличку поставила?- Как это не берут? Еще и как берут! Кто для жены, кто для тещи...",1,-0.3997887,11.149262,
52,"Сын спрашивает отца:- Пап, а пап! А чего это бабушка по полю зигзагами бегает?- Для кого-то бабушка, а для кого-то теща... Подай-ка мне,сынок, еще обойму!",3,0.122288,11.035615,
53,"Зять показывает теще строящуюся квартиру:- Это зал, это спальня. - Открывает дверь. - А это будет балкон.Проходите, мамаша, проходите.",3,-0.38303974,11.173778,
54,"Стоят на горке два быка: один молодой и неопытный бычок,другой пожилой, видавший виды. Внизу пасется стадо коров.Молодой говорит: ``Давай побежим с горы быстро-быстро,сломаем забор по пути и схватим по коровке!``Старый отвечает: ``Нет! Мы пойдем медленно-медленно, обойдемзабор и завладеем ВСЕМ стадом!",3,0.47243622,11.84129,
55,"Встречаются два приятеля, один из них с двумя цветнымителевизорами.- Зачем тебе два?- Теща сказала, что полжизни отдаст за цветной телевизор!",1,-1.1474749,10.843063,
56,"Зять выбрасывает тещу с балкона, перегибается через перила и кричит:- Мама, куда вы!",3,0.043113608,11.146459,
57,"Приходит зять домой, снимает рубашку, поворачивается к тещеспиной и говорит:- Плюй!- Да ты что, как же я буду на родного зятя плевать?!- Я сказал - плюй!- Но почему???- Врач сказал, что от радикулита змеиный яд помогает.",6,-2.2966719,10.727567,
58,"Теща сидит на диване. Над ее головой висят старинныемассивные часы. Когда теща встает, часы падают.- Вечно они опаздывают! - раздосадованно говорит зять.",3,-0.29221976,11.05951,
59,"- Если бы ты только знал, как мне нравится Швейцария! Это та страна,с которой связанны наипрекраснейшие моменты моей жизни!- Но ты же никогда туда не ездил!- Но зато в Швейцарию часто ездит моя жена, а я дома остаюсь один,понимаешь?",1,-1.606786,9.243816,
60,"Папа женился второй раз. Он спрашивает маленького Витю:- Нравится тебе твоя новая мама?- Папа, тебя кажется обманули, - говорит задумчиво Витя. - Не такаяуж она и новая.",3,-0.4403979,10.154409,
61,"Сидит Словей-разбойник в дупле и читает внучонку книжку.Проезжает мимо пьяный Илья Муромец:- Ну, что, падла, вс:е сидишь?! (заплетающимся языком)- Сижу, Илюшенька, сижу... (угодливо улыбаясь)- Небось, гад, вс:е свистишь?! (тем же языком)- Свищу, Илюшенька, свищу... (так же улыбаясь)- У-у-у-у-у! (наотмашь бь:ет Соловья-разбойника булавой)Соловей-разбойник вырубается, а Илья, дурным голосом горланяпьяные песни, едет дальше.Через некоторое время СР оклемался и с виноватым видом говоритвнучонку:- Так-то он вообще мужик нормальный, но как выпьет - то ему нетак сидишь, то ему не так свистишь...~l",3,0.21516839,11.739087,
62,Молодой человек спрашивает у пожилого:- Какой месяц лучше для женитьбы?- Мартобрь.- Но такого месяца нет!- Вот именно.,1,-1.4481783,9.256607,
63,- Шо клюе?- Грыбы!- Шо грыбы клюють?- Грыбы на х..!,1,0.30019113,9.98766,
64,"Идет крутой ежик по тропинке, оступился и упал мордочкой в гавно.``Ухххх!  Хорошо что не наступил`` - пролепетал ежик стирая дерьмо сгладкого личика своими маленькими ручками.",3,0.43763998,11.704007,
65,"Встречаются хиппи (Х) и системный администратор (СА).(СА) - Привет, хиппи, блин!(Х) - Привет!! А ты кто такой!!(СА) - Я  - системный администратор.(Х) - Слышь, дык что-то ты не похож на Системного...",1,-0.9363124,10.882915,
66,"Не вполне понимаю, почему наши СМИ, самые смистые СМИ в мире, боятся, как черт ладана, называть власти США ""преступным режимом Трампа"".",0,4.484383,8.87774,
67,"Попали в огромную яму медведь, волк и лось. Ну, прошло неделидве, волк подходит к медведю:- Слышь, Миша,.. ну,.. такое дело,.. в общем, я думаю так,лось - он же травоядный, а тут в яме травы-то никакой нет,он все равно подохнет скоро, а мы же хищники, глядишь ещенедельку-другую протянули бы, давай его сейчас съедим, ато он же подохнет с голоду, мы ж падаль есть не будем...- Правильно, Волк!Ну, подходят они к лосю:- В общем, Лось, такое дело, ты травоядный, а травы тут нету,мы решили с Волком тебя съесть, ты же все равно сдохнешь,а так мы еще поживем.Лось говорит:- Да конечно, ребяты! Да я уж и сам хотел к вам подойти!Да че в самом деле, ешьте меня на здоровье! Я ж действительнопомру, а так вы классные пацаны еще поживете! Только, мужики,у меня к вам просьба есть: мне Лосиха говорила, что у меняпод хвостом татуировка есть какая-то и что-то там написано,а она у меня малограмотная - читать не умеет, а самому мне нуникак не дотянуться, а уж больно охота узнать что там у менянаписано. А тут такое дело, ну хоть перед смертью уважьтеменя - прочитайте, а то я так и помру, не узнав.- Да че там, конечно, прочитаем, для классного пацана нежалко, все сделаем!Подходят они сзади к лосю, ну, он естесно, на передние ногивстал, задними как даст им обоим. Ну, волка сразу насмерть,а у медведя грудина разворочена, морда вся перевернута в крови,челюсть налево, нос направо. Медведь за морду держится и орет:- А-а, о-о, а я-то куда полез, я-то куда, я же читать не умею...",3,0.5054364,11.711203,
68,"Бабка обращаеться к патлатому парню в заклёпках на улице:- Молодой человек, как пройти на улицу Горького?- Во-первых,не молодой человек, а чувак. Во-вторых,не пройти,а кинуть кости. В-третьих, не на улицу Горького,а на Пешков-стрит. А в-четвёртых, не знаю я, вон у ментаспроси.Бабка подходит к милиционеру:- Чувак, как кинуть кости на Пешков-стрит?Тот медленно опустил руку, было дёрнувшуюся к козырьку:- Хипуешь, КЛЮШКА?!",3,-0.10667254,11.219264,
69,"Женщина (Ж) на приеме у врача (В):В: - Раздевайтесь пожалуйста...Гм, странно...Простите, а где ваш пупок?Ж: - Пупок? Дак стерся.",6,-2.4442213,10.407867,
70,"- Что вы можете сказать о последнем высказывании Александра Дугина о том, что ""мы должны ясно осознать, что лучше пусть нас контролирует свое государство, чем чужое""?- Скажу, что он все чаще напоминает мне беднягу-архивариуса из фильма ""Убить дракона"", который говорил: ""Уверяю вас, единственный способ избавиться от драконов — это иметь своего собственного!""",0,2.823953,10.123464,
71,Приходит бабушка в аптеку:- У вас есть йодистый калий?- Нет. Есть цианистый калий.- А какая разница?- На две копейки дороже.,6,-1.7318788,10.905703,
72,"Медсестра катит тележку с пациентом.П Сестричка, а может в реанимацию?С Доктор сказал: ``В морг``. Значит, в морг!",6,-2.4207368,10.501719,
73,Что такое ``радионяня``? Это бабушка из Чернобыля.,5,1.894978,9.538003,
74,Новый герб Украины после Чернобыля: двуглавый хохол.,0,4.604141,8.468227,
75,"ВОПРОС. Правда ли, что в Киеве можно сушить белье на открытомвоздухе?ОТВЕТ.  Правда, но после этого белье следует тщательно прополоскать.",4,0.6487085,8.999029,
76,На четвертом энергоблоке установлен плакат с надписью:``Отсель грозить мы будем шведу``. Подпись - ``А ЭС Пушкин``.,0,3.873625,9.306648,
77,Разработан новый экскурсионный маршрут:Киев - Чернобыль - Берковцы.Экскурсии проводит бюро ритуальных услуг.,0,3.205432,9.308052,
78,"Какая разница между радиацией и милицией? Милиция алкоголиковберет, а радиация - нет.",5,0.14408845,8.693859,
79,Что первым распадается в результате радиоизлучения?Общество трезвости.,4,1.1785458,8.195119,
80,"ВОПРОС. Можно ли питаться яблоками, выращенными вблизи Киева?ОТВЕТ.  Можно. Только огрызки следует закапывать в землю.",4,0.77102995,9.196481,
81,"Новый флаг Украины после Чернобыля: красная, белаяи черная полосы. Красная - цвет вина, белая - цвет крови,черная - цвет юмора.",0,4.5783973,8.47371,
82,"Трамп: ""Благодаря великолепным действиям нашей прекрасной армии, мы обязали Иран контролировать Ормузский пролив, заставили режим аятолл взимать плату за прохождение судов и вынудим их продолжать обогащение урана"".",0,4.498691,8.8559065,
83,"Бабка приходит к врачу и спрашивает:- Ну что, доктор, есть у меня улучшение?- Да, бабуля, можете теперь потихонечку по лестницеподниматься.- Ну слава Богу, бл%дь, а то я уже зае@алась домойпо водосточной трубе добираться!",6,-2.3288245,10.534743,
84,"Мама Вовочки говорит папе (Вовочки же) что, мол, ребенокуже большой, пора заняться его сексуальным просвещением,и ты, как отец должен все ему объяснить.- Да как я ему объяснять-то буду?- Ну, начни с аналогий, с бабочками, например...Отец при возможности подзывает Вовочку:- Сынок, помнишь, мы с тобой на прошлой неделе в бордель ходили?- Да, конечно.- Так вот, у бабочек - то же самое!",3,0.52085733,10.905947,
85,"Василий Иваныч съездил за границу, привез плавки синие,с золотым якорем. Вышел на пляж, красуется, все на негосмотрят. Петьке завидно стало. Он и говорит:- Василий Иваныч, в следующий раз привези мне тоже.- Ладно, Петька!Приехал Василий Иваныч опять за границу, а деньги всепропил, чуть-чуть осталось. Пошел он и купил дваслюнявчика, тоже яркие, надписи иностранные. Привез ихПетьке. Тот увидел и спрашивает:- Ты что, Василий Иваныч? Как же их одевать?- Да это у них, Петька, мода такая. Ты один спередиповяжи, а другой сзади - тут как раз веревочки.Пошли на пляж, а все смеются. А Петька недоумевает:- Василий Иваныч, чего все смеются?- Ой, Петька, не могу, у тебя спереди написано:``Расти на радость маме``, а сзади: ``Жуй, но не чавкай``!",3,0.5496878,10.93174,
86,"если уж на то пошло, то для начала всем госслужащим и членам их семей нужно запретить пользоваться вражескими айфонами и соцсетями В ЛЮБЫХ ЦЕЛЯХ!если это получится реализовать, можно и о запретах для народа подумать!",0,4.116882,8.325589,
87,"Купил Медведь мотоцикл с коляской. Медведь добрый был,говорит Зайцу:- Садись, покатаю.Заяц в коляску уселся, Медведь кааак рванет с места.Заяц:- Улю-лю-лю-лю!``Ну, понравилось Зайцу, - думает Медведь. - Еще быстреепросит.`` И прибавил газу.Заяц:- Улю-лю-лю-лю-лю-лю!Медведь еще быстрее.Заяц:- Улю-лю-лю-лю-лю-лю-лю-лю-лю!Ну, медведь еще быстрее. Наконец, остановились.Заяц:- Улю-лю-лю-лю-лю-лю-лю-лю-люльки д-д-д-дно отвалилось!",3,0.2136042,11.670544,
88,"- Хотел бы я иметь столько денег, чтобы на них можно былокупить самолет.- Зачем тебе самолет?- Да самолет мне не нужен. Я только хочу иметь столько денег...",1,-0.6803563,10.481899,
89,"- Когда вы мне, наконец, отдадите долг?- Как только приедет дядя из Америки.- Уже год, как я слышу эту историю. Не верю я ни в какого дядю.- Могу показать вам письмо, которое я от него получил.- Да, и что он пишет?- Просит прислать ему денег на дорог",1,-0.45915267,10.435631,
90,"Пожилой немец приходит к пастору и говорит:- Я хочу покаяться. Во время войны я прятал в своем подвале еврея.- В чем же тут каяться, сын мой? Ты совершил богоугодное дело.- Но я брал с него деньги...- И это небольшой грех. Ты его спас, ты кормил его.- Но я не сказал ему, что война кончилась, и беру с него деньгидо сих пор...- Как?! Немедленно выпусти этого несчастного!Немец приходит домой, спускается в подвал и начинает каяться.- И ты думаешь, я не знал, что война кончилась? - перебиваетего еврей. - Я только молил Бога, чтобы ты не увеличил плату!",3,0.57948595,11.832351,
91,"В Москве зарегистрирован устав новой общественнойорганизации ``Анонимные коммунисты``. Сюда могутобращаться люди, которые не в состоянии самостоятельнопобороть свои пагубные политические пристрастия.",0,3.9098923,8.877224,
92,"Булочная.- Вам хлеб привезли?- Привезли.- Свежий?- Свежий.- Теплый?- Теплый.- С изюмом?- С изюмом.- Подайте, Христа ради!..",1,-0.6355877,10.530369,
93,"Начальник следственного изолятора рассказывает коллеге:- Недавно прочитал историю из жизни половых извращенцеви торговцев наркотиками. И где ты думаешь? В букваре усынишки. Трудно поверить? Тогда слушай:``У Ромы шары. У Маши мак. На, Маша, шары. Дай мак.``",3,-0.35551065,11.4147215,
94,"Вор-рецидивист из ``придурочных`` стянул жутко дорогой перстеньи при задержании проглотил. Сержанту дают ключ от одиночнойкамеры и... ночной горшок. На третьи сутки сержант кричитначальнику ``Есть!`` и показывает ночной горшок. Начальник -``Ну, давай, приводи перстень в порядок``. Тот исчез... Черезполчаса начальник сам является в СИЗО. ``Где перстень?!`` -``Я дал ему очистить`` - сержант показывает на уголовника.``Ну?!`` - ``Он очистил и снова проглотил``.",1,-0.6249291,11.407755,
